nmda_multiplier,gaba_factor,wdr_mean_rate_mean,wdr_mean_rate_std
1.0,1.0,7.0840000000000005,1.6232510588322435
1.0,0.8,10.796000000000001,2.2156317383536464
1.0,0.6,16.42,2.9766020896317333
1.0,0.4,24.708,3.52078627581965
1.0,0.2,35.55199999999999,3.180807444659295
1.5,1.0,23.863999999999997,4.237988201965646
1.5,0.8,30.820000000000004,4.71682944359874
1.5,0.6,39.188,4.748365613555891
1.5,0.4,48.583999999999996,4.2922143469309635
1.5,0.2,55.516,3.109042296270669
2.0,1.0,44.204,5.914516379214787
2.0,0.8,51.988,5.723783364174436
2.0,0.6,59.872,4.971399802872428
2.0,0.4,66.384,3.9314607972101125
2.0,0.2,69.788,3.114343590550023
2.5,1.0,63.888,6.568258216605069
2.5,0.8,71.04400000000001,5.800750296297887
2.5,0.6,77.384,4.821558254340602
2.5,0.4,80.73999999999998,3.7863967039918043
2.5,0.2,81.16,3.187048791593876
3.0,1.0,81.81599999999999,6.596015767112747
3.0,0.8,87.44800000000001,5.59346189760867
3.0,0.6,91.32000000000001,4.628433860389494
3.0,0.4,92.784,3.8813482193691398
3.0,0.2,91.14000000000001,3.5035753167300374
3.5,1.0,97.58800000000001,6.360950872314608
3.5,0.8,101.98,5.243495017638518
3.5,0.6,103.752,4.559238532913143
3.5,0.4,103.468,4.016776817300158
3.5,0.2,100.276,3.690927254769457
4.0,1.0,111.46799999999999,6.0881997339114955
4.0,0.8,114.12,5.189759146627137
4.0,0.6,114.792,4.538574225458917
4.0,0.4,113.148,4.21931937639236
4.0,0.2,108.676,4.00550421295497
