label,seed,protocol,wdr_mean_rate,gaba_mean_rate,wdr_peak_rate,wdr_isi_mean,wdr_isi_std,wdr_isi_cv,gaba_isi_mean,gaba_isi_std,gaba_isi_cv,wdr_windup_ratio,wdr_evoked_response,wdr_early_rate,wdr_late_rate,wdr_burst_count,wdr_burst_fraction,ei_ratio,wdr_active_fraction,wdr_total_spikes,gaba_total_spikes
healthy,786544956,mixed,0.0,196.03333333333333,0.0,0.0,0.0,0.0,5.074209536831311,1.0000135205980387,0.19707769522314933,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5881.0
healthy,565915329,mixed,0.0,130.73333333333332,0.0,0.0,0.0,0.0,7.617317574511819,2.0606722675162255,0.2705246626990329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3922.0
healthy,170195625,constant,0.66,60.03333333333333,16.0,115.16521739130435,158.70665203092713,1.3780779963422394,16.327272727272728,6.793862142020854,0.4161051423286714,0.0,0.0,0.1,1.9,1.0,0.09090909090909091,0.01099389228206552,0.2,33.0,1801.0
healthy,1511897337,constant,0.0,51.2,0.0,0.0,0.0,0.0,19.11985391766268,9.059102689876356,0.4738060619546717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0
healthy,1174474424,constant,0.12,80.76666666666667,4.0,89.17500000000003,81.33813296972089,0.912118115724372,12.273756790639364,4.428338816605629,0.36079734120061113,0.0,0.0,0.0,0.0,0.0,0.0,0.0014857614527445315,0.04,6.0,2423.0
healthy,1058199178,burst,0.0,43.03333333333333,0.0,0.0,0.0,0.0,22.83370340999207,13.652765857043196,0.5979216604464049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.0
healthy,1626692869,ramp,0.0,33.233333333333334,0.0,0.0,0.0,0.0,28.904343329886245,18.693079800507547,0.6467221755278366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0
healthy,1418625644,constant,0.0,49.96666666666667,0.0,0.0,0.0,0.0,19.789108236895846,10.126400792486356,0.511715872755002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.0
healthy,1703992271,constant,2.16,66.33333333333333,22.0,41.14639175257733,97.29633241501728,2.3646382652477134,14.791836734693877,6.06908649733384,0.4102997218120284,0.04,0.002,0.4,3.3,9.0,0.3148148148148148,0.03256281407035176,0.22,108.0,1990.0
healthy,960007121,ramp,15.06,6.566666666666666,86.0,44.63172119487909,50.8895541128592,1.14021043218692,91.98383233532934,70.92641401954907,0.7710747880234547,0.0,0.0,0.0,26.7,7.0,0.03187250996015936,2.2934010152284268,1.0,753.0,197.0
